_runtime,_timestamp,train/epsilon,_step,train/loss,train/episode,episode/goal_reward,episode/clipped_reward,episode/action_all,train/learning_rate,episode/tracking_reward,train/grad_norm,episode/actions_up,episode/actions_neutral,episode/actions_down,episode/total_reward,train/buffer_size,run_id,run_name,group
27081.467293232,1788060431.5225518,0.05,1073584.0,0.0024622136261314154,489,,,,0.0003,,0.06562687399986881,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
27313.827161224,1788060663.8811762,0.05,1082812.0,0.004324987530708313,492,,,,0.0003,,0.059176881346357756,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
28053.978674479,1788061403.9900703,0.05,1112088.0,0.002838300773873925,503,,,,0.0003,,0.04721987326046609,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
30031.519443973,1788063381.5803084,0.05,1190368.0,0.002162821590900421,532,,,,0.0003,,0.04313421065249404,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
31268.065796965,1788064618.1140237,0.05,1239460.0,0.0022381851449608803,552,,,,0.0003,,0.038397101107061904,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
32067.250455264,1788065417.3000617,0.05,1271112.0,0.0033001042902469635,563,,,,0.0003,,0.05460423659246135,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
34992.720734576,1788068342.7317476,0.05,1387184.0,0.0021866268943995237,602,,,,0.0003,,0.03711516449787143,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
37146.944241754,1788070497.0043519,0.05,1472756.0,0.00420832633972168,632,,,,0.0003,,0.06334045792278206,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
37281.243922119,1788070631.3003907,0.05,1478068.0,0.0026640156283974648,634,,,,0.0003,,0.03580249724195478,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
38346.112782795,1788071696.1666832,0.05,1520372.0,0.002324196510016918,648,,,,0.0003,,0.04264754222463829,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
39644.268826566,1788072994.3287725,0.05,1571944.0,0.0032608183100819588,667,,,,0.0003,,0.03375646986048946,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
39953.846450807,1788073303.9143114,0.05,1584248.0,0.003120994661003351,672,,,,0.0003,,0.0472514280829125,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
